rank,delta_rank,ticker,name,sector,industry,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
339,124,ZS,Zscaler,Technology,EDP Services,large,174.69,0.5116,1.198,1.1885,0.8715,STRONG_UP,-41.66,-30.84,-3.27,-64.89,50.4,68.35,1.9373,HIGH,SHIFT,144.518,142.7854,226.2506,0,-22.7372,WEAK,25.0681
490,62,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,large,106.23,0.8166,1.0341,0.7704,0.6029,STRONG_UP,2.77,10.4,-19.31,-34.57,48.8,36.67,1.5213,HIGH,EARLY,113.4165,120.3017,120.428,0,13.8354,WEAK,19.9371
495,42,NOW,ServiceNow,Information Technology,Systems Software,large,103.42,0.3729,1.1648,0.9511,0.8238,STRONG_UP,-39.2,-49.59,-33.21,-60.28,48.4,65.43,2.2172,HIGH,SHIFT,92.0895,99.3178,144.3739,0,-36.6814,WEAK,19.8675
658,58,SPXC,SPX TECHNOLOGIES INC,Industrials,,mid,200.47,0.949,1.0099,0.8449,0.7126,STRONG_UP,-5.18,28.3,39.43,-23.15,51.6,45.0,1.9347,HIGH,EARLY,210.093,207.621,205.4905,0,32.4516,WEAK,16.571
757,227,TMDX,TRANSMEDICS GROUP INC,Health Care,,mid,68.34,0.414,1.0716,0.554,0.4331,STRONG_UP,-40.58,-44.03,-50.7,-58.76,46.8,73.08,1.5387,HIGH,EARLY,87.4055,102.5577,120.5846,0,-28.1962,WEAK,14.6087
811,150,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,large,1074.84,0.6859,1.0047,0.7441,0.671,STRONG_UP,-23.39,-7.27,-29.21,-31.9,48.4,43.74,1.523,HIGH,EARLY,1208.0405,1239.9392,1331.0296,0,-8.0439,WEAK,13.8668
847,-245,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,large,629.68,0.7851,0.8725,0.7706,0.6834,STRONG_UP,-8.98,6.13,-35.79,-22.39,48.4,33.88,4.1499,HIGH,EARLY,716.798,739.7526,690.9316,0,8.7601,WEAK,13.4382
891,22,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,mid,44.43,0.6697,0.9392,0.6726,0.6431,STRONG_UP,-24.98,-9.46,-45.65,-39.26,48.4,58.45,1.5888,HIGH,EARLY,51.2925,52.8142,57.6477,0,-7.8363,WEAK,12.8226
928,216,BL,BLACKLINE INC,Information Technology,,mid,29.81,0.4019,1.1401,0.8597,0.6895,STRONG_UP,-45.47,-45.67,-48.5,-57.11,50.8,64.09,2.6855,HIGH,EARLY,30.0955,33.3236,47.0489,0,-36.2009,WEAK,12.3399
940,253,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,large,51.395,0.4726,1.0794,0.7822,0.6606,STRONG_UP,-28.56,-36.11,-23.96,-46.71,49.2,39.28,2.0953,HIGH,EARLY,52.2728,57.5403,69.2403,0,-45.2321,WEAK,12.0836
952,152,MSI,Motorola Solutions,Information Technology,Communications Equipment,large,410.27,0.7214,1.0508,0.8419,0.7822,STRONG_UP,8.62,-2.48,13.68,-25.45,51.6,30.93,1.8398,HIGH,EARLY,422.492,438.4759,427.5242,0,-4.133,WEAK,11.9454
998,143,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,mid,100.44,0.4043,1.0583,0.6983,0.5144,STRONG_UP,-43.89,-45.34,-47.55,-59.49,50.8,52.76,2.0313,HIGH,EARLY,108.359,123.7522,162.1964,0,-43.6545,WEAK,11.487
1011,51,DXCM,Dexcom,Health Care,Health Care Equipment,large,65.09,0.5537,1.0672,0.9238,0.7678,STRONG_UP,12.11,-25.15,-50.2,-38.75,48.8,37.08,2.8823,HIGH,SHIFT,60.7225,63.172,68.0789,0,-33.0986,WEAK,11.2945
1032,63,TYL,Tyler Technologies,Information Technology,Application Software,large,320.79,0.4133,1.0385,0.8504,0.8684,FLAT,-31.4,-44.12,-35.05,-53.08,46.4,35.43,1.5241,HIGH,EARLY,327.9975,335.2872,437.6259,0,-57.7833,WEAK,10.9591
1229,44,CARG,CARGURUS INC CLASS A,Communication,,mid,28.66,0.6619,0.91,0.7079,0.8697,FLAT,-19.31,-10.52,21.6,-30.92,51.2,45.76,2.0695,HIGH,EARLY,35.1727,34.6043,34.548,0,-11.7722,WEAK,8.1306
1385,-6,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,large,139.11,0.5661,0.9635,0.8291,0.7552,STRONG_UP,-14.59,-23.47,-15.69,-30.16,50.4,27.73,1.6867,HIGH,EARLY,147.745,154.793,163.1711,0,-42.6594,WEAK,5.4365
1476,37,EXPO,EXPONENT INC,Industrials,,mid,57.35,0.5392,1.0052,0.7718,0.7039,STRONG_UP,-17.32,-27.1,-39.03,-32.45,46.0,29.95,1.5668,HIGH,EARLY,62.807,65.2106,69.2003,0,-41.6259,WEAK,3.0376
