rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,DTR.AX,Dateline Resources Limited,Gold,mid,0.43,100.0,-0.2235,0.3008,1.0134,STRONG_DOWN,-21.10%,8500.00%,2971.43%,-71.54%,47.62%,122.57%,1.2167,MED,-,0.4445,0.3839,0.2902,1,3302.358,LEADER,718.4098
2,0,G11.AX,G11 Resources Limited,Gold,small,0.27,99.35,-0.1356,-0.0057,-0.0947,FLAT,1217.07%,2150.00%,938.46%,-30.77%,33.82%,66.34%,0.23,LOW,-,0.3047,0.3272,0.1834,1,1096.0658,LEADER,213.5631
3,0,A1G.AX,African Gold Limited,Gold,small,1.01,98.04,0.1086,0.1962,0.5892,STRONG_DOWN,121.98%,910.00%,2785.71%,-37.36%,48.02%,76.74%,0.7493,LOW,-,0.8968,0.8874,0.4887,1,569.4318,LEADER,114.6954
4,0,TM1.AX,Terra Metals Limited,Gold,small,0.3,98.69,0.0662,0.0082,1.2017,FLAT,81.82%,1478.95%,435.71%,-46.49%,41.67%,175.30%,0.5255,LOW,-,0.2882,0.3313,0.1672,1,351.5559,LEADER,80.0239
5,0,VTM.AX,Victory Metals Limited,Gold,small,1.55,94.12,0.018,0.2497,0.3724,STRONG_DOWN,22.53%,302.60%,507.84%,-46.36%,45.93%,80.03%,2.8825,HIGH,-,1.4037,1.3153,1.2403,1,173.6636,LEADER,52.3125
6,0,RSG.AX,Resolute Mining Limited,Gold,mid,1.49,90.85,0.112,0.1157,0.2653,STRONG_DOWN,38.60%,227.47%,238.64%,-31.25%,52.78%,66.38%,0.8899,LOW,-,1.3635,1.3955,1.0407,1,180.8677,LEADER,43.9229
7,0,KCN.AX,Kingsgate Consolidated Limited,Gold,mid,4.58,88.24,-0.004,-0.1958,-0.1382,FLAT,21.57%,213.54%,255.43%,-43.14%,55.95%,78.21%,0.5783,LOW,-,5.4716,5.8463,4.2239,1,152.7631,LEADER,42.9058
8,0,FAL.AX,Falcon Metals Limited,Gold,small,0.525,95.42,0.0056,-0.1337,-0.0553,FLAT,-36.75%,356.52%,288.89%,-61.21%,42.46%,101.57%,0.7846,LOW,-,0.5558,0.6852,0.6421,0,149.0392,LAGGARD,41.228
9,0,AQI.AX,Alicanto Minerals Limited,Gold,small,1.725,94.77,0.047,-0.0414,-0.0177,FLAT,205.85%,349.22%,460.06%,-47.03%,35.71%,108.56%,1.6838,HIGH,-,1.6158,1.8825,0.9529,1,114.8729,LEADER,40.733
10,0,WGX.AX,Westgold Resources Limited,Gold,large,6.29,81.05,0.0695,-0.014,0.0341,FLAT,17.13%,127.27%,130.04%,-37.64%,54.37%,63.09%,1.0449,MED,-,5.9475,6.8032,5.1262,1,109.676,LEADER,40.665
11,0,DGR.AX,DGR Global Limited,Gold,small,0.033,97.39,-0.0961,0.1386,-0.099,FLAT,65.00%,450.00%,106.25%,-50.00%,25.79%,86.32%,0.149,LOW,-,0.0319,0.0315,0.0228,1,134.4474,LEADER,37.7057
12,0,EVN.AX,Evolution Mining Limited,Gold,large,13.65,69.93,0.014,-0.0135,0.1477,FLAT,23.82%,96.97%,278.19%,-34.17%,54.76%,62.12%,1.5415,HIGH,-,13.2595,14.4077,11.0354,1,85.484,CONTENDER,36.9588
13,0,WWI.AX,West Wits Mining Limited,Gold,small,0.066,93.46,-0.019,-0.0677,-0.1865,STRONG_UP,34.69%,288.24%,340.00%,-37.63%,38.49%,81.28%,0.3551,LOW,-,0.0701,0.0767,0.0539,1,136.4933,LEADER,36.2085
14,0,TOR.AX,Torque Metals Limited,Gold,small,0.455,96.08,0.0175,0.6064,0.6278,STRONG_DOWN,49.18%,364.29%,264.00%,-36.23%,45.63%,114.77%,0.9485,LOW,-,0.4253,0.3465,0.2863,1,144.8319,LEADER,36.0427
15,0,BCN.AX,Beacon Minerals Limited,Gold,small,3.48,88.89,0.0677,-0.0015,0.2266,FLAT,44.25%,216.83%,241.20%,-38.13%,46.83%,75.53%,0.2502,LOW,-,3.37,3.7408,2.578,1,134.4391,LEADER,34.7645
16,0,SBM.AX,St Barbara Limited,Gold,mid,0.655,85.62,0.0833,-0.0737,0.169,FLAT,11.02%,172.92%,244.74%,-38.37%,45.24%,84.28%,1.352,MED,-,0.6422,0.7098,0.5188,1,92.8186,LEADER,33.9312
17,0,GML.AX,Gateway Mining Limited,Gold,small,0.068,86.93,0.0309,0.0701,-0.0136,FLAT,6.25%,195.65%,183.33%,-44.76%,37.70%,59.89%,0.5423,LOW,-,0.0679,0.0713,0.0622,1,123.1606,LEADER,33.7341
